,0
0,-46.40128755364807
1,12.879685264663806
2,10.193133047210301
4,-0.045064377682403435
5,-0.10886981402002861
6,-0.044778254649499284
7,-0.12303290414878398
8,-0.05264663805436338
9,-0.10901287553648069
10,-0.040629470672389124
11,-0.0938483547925608
12,-0.4357653791130186
13,-0.8708154506437769
14,-0.4781115879828326
15,-0.7978540772532189
16,-0.4254649499284692
17,-0.7128755364806867
18,-0.43433476394849785
19,-0.5207439198855508
20,-0.3708154506437768
21,-0.621030042918455
22,-0.3151645207439199
23,-0.6035765379113018
24,-0.2899856938483548
25,-0.6175965665236052
26,-0.2941344778254649
27,-0.5472103004291845
28,-0.23619456366237482
29,-0.5835479256080115
30,-0.25722460658082974
31,-0.5795422031473534
32,-0.2369098712446352
33,-0.6183118741058655
34,-0.16237482117310442
35,-0.6080114449213162
36,-0.21974248927038625
37,-0.6324749642346209
38,-0.24248927038626608
39,-0.6722460658082976
40,-0.22560801144492132
41,-0.6648068669527897
42,-0.26838340486409157
43,-0.5962804005722461
44,-0.23433476394849787
45,-0.5989985693848355
46,-0.2696709585121602
47,-0.5898426323319027
48,-0.2351931330472103
49,-0.5838340486409156
50,-0.2055793991416309
51,-0.6400572246065809
52,-0.30472103004291845
53,-0.6616595135908441
54,-0.3419170243204578
55,-0.5818311874105866
56,-0.24320457796852646
57,-0.5969957081545064
58,-0.3157367668097282
59,-0.5656652360515021
60,-0.2543633762517883
61,-0.5137339055793991
62,-0.2190271816881259
63,-0.5042918454935622
66,-0.2113018597997139
67,-0.6125894134477825
68,-0.16437768240343348
69,-0.4466380543633762
70,-0.15550786838340486
71,-0.48283261802575106
72,-0.14449213161659513
73,-0.5005722460658083
74,-0.14449213161659513
75,-0.5483547925608011
76,-0.18583690987124463
77,-0.6203147353361945
78,-0.2223175965665236
79,-0.5566523605150214
80,-0.18183118741058654
81,-0.6919885550786838
82,-0.13104434907010015
83,-0.6090128755364806
84,-0.21816881258941345
85,-0.5766809728183119
86,-0.2555078683834049
87,-0.5834048640915593
88,-0.20972818311874106
89,-0.5771101573676681
90,-0.17968526466380544
91,-0.6030042918454935
92,-0.10958512160228899
93,-0.5845493562231759
94,-0.25350500715307583
95,-0.6183118741058655
96,-0.18798283261802576
97,-0.6160228898426323
98,-0.14048640915593705
99,-0.6915593705293276
100,-0.2532188841201717
101,-0.7416309012875536
102,-0.42031473533619457
103,-0.6789699570815451
104,-0.4831187410586552
105,-0.7188841201716738
106,-0.511587982832618
107,-0.6620886981402003
108,-0.565379113018598
109,-0.6432045779685265
110,-0.5330472103004292
111,-0.669241773962804
112,-0.6419170243204578
113,-0.6845493562231759
114,-0.6718168812589413
115,-0.638340486409156
116,-0.6213161659513591
117,-0.7251788268955651
118,-0.002145922746781116
119,-0.10715307582260372
120,-0.019027181688125894
121,-0.11430615164520744
122,-0.017167381974248927
123,-0.12546494992846924
124,-0.015164520743919885
125,-0.10844062947067239
126,-0.002145922746781116
127,-0.12861230329041487
