,0
0,74.71346839221653
1,80.03385838745267
2,5.850247243947834
4,4.246766669557177
5,4.4701542821553035
6,4.057340200370747
7,4.3181229345447285
8,3.880136892329802
9,4.144115325183648
10,3.687702573288851
11,4.002117687372801
12,13.493063556937525
13,13.111289090320168
14,13.108352129867036
15,12.867526532437335
16,13.183271067288718
17,13.016750389398904
18,13.130530828650105
19,12.924782629826908
20,12.552678219563084
21,12.554514741877494
22,12.46828394487751
23,12.27280005552222
24,12.344237413054481
25,12.25348032895267
26,12.150986854752514
27,12.099316679087812
28,12.531334557700665
29,12.417250542421163
30,12.929857492972513
31,12.789474197209998
32,13.336814001305765
33,13.27697639419461
34,13.83893773148205
35,13.75182164527034
36,13.78154935134155
37,13.66515343484763
38,13.810451502728425
39,13.76413601449822
40,13.505467624946808
41,13.451181145724375
42,13.96568220320227
43,13.831470889383372
44,13.6776983935971
45,13.618459530199223
46,13.612593959274337
47,13.50097413498864
48,13.788020406255502
49,13.695670110476636
50,13.872957408587084
51,13.745944049755805
52,13.730293279017411
53,13.77790655126601
54,13.952912341683037
55,13.798680744673844
56,13.713743297066474
57,13.561630923181418
58,14.150410110790784
59,14.042794596403713
60,14.387538038554377
61,14.339605736583213
62,14.292028508691036
63,14.228252810130746
66,14.62299098617494
67,14.571893852435487
68,14.637774220040638
69,14.575363015678715
70,14.500792913756088
71,14.468587551743804
72,14.617036529205642
73,14.541711300128108
74,14.308899596461663
75,14.380094448129245
76,14.670275997161447
77,14.583963439306357
78,14.766424456751016
79,14.846373431678947
80,14.760431983789973
81,14.829154650133816
82,15.042297227394217
83,15.032736882021593
84,15.68603957470159
85,15.523397702625461
86,14.829028307599403
87,15.022065493956294
88,14.630912666305875
89,14.77695057744241
90,14.76000750747685
91,14.889344008983972
92,14.765424153607972
93,15.053676704836422
94,14.530466850543315
95,14.75914153003804
96,14.29201509939606
97,14.473877107890491
98,13.925861184209705
99,14.083662505836951
100,13.375573516199847
101,13.543110846336402
102,13.013905169432814
103,13.138528068795285
104,12.528448143286393
105,12.65983295065743
106,12.633618715348819
107,12.771363270013381
108,12.567093492659628
109,12.574790717912258
110,12.376410725138316
111,12.351920361304925
112,12.383639079719536
113,12.351735855426131
114,12.235030524902118
115,12.121137773916862
116,11.987644614045584
117,11.82436370909561
118,4.280328778596009
119,4.246496074315014
120,3.9729099362668316
121,4.030071350144619
122,4.253316985825199
123,4.261702383155305
124,4.3663011971295695
125,4.5225591832198635
126,4.2925125861948406
127,4.458636103664371
