type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,AA:93:4A:77:07:9F,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,415890,0,183,0,0,0.605374,128,[-73 112 11 0 0 0 0 0 0 0 0 0 9 -8 10 -8 10 -9 10 -8 12 -10 12 -9 13 -8 14 -9 13 -8 13 -8 14 -8 14 -8 12 -9 11 -7 11 -7 11 -7 9 -8 8 -10 7 -13 9 -14 8 -14 10 -16 12 -16 13 -18 14 -18 16 -15 0 0 17 -13 16 -14 14 -15 13 -12 13 -14 12 -15 10 -15 9 -18 10 -16 9 -18 11 -19 11 -22 12 -23 15 -23 18 -21 18 -20 18 -21 19 -16 19 -17 18 -15 16 -14 12 -15 12 -15 10 -18 10 -18 10 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,430355,0,183,0,0,0.619242,128,[-73 112 11 0 0 0 0 0 0 0 0 0 3 7 -1 7 -3 2 -1 4 -3 2 -6 2 -10 3 -10 1 -13 5 -15 7 -16 9 -18 11 -19 12 -19 13 -19 17 -16 15 -16 12 -11 13 -7 6 -11 2 -11 0 -12 -5 -12 -12 -15 -12 -17 -15 -19 -17 0 0 -25 -20 -24 -17 -29 -16 -29 -14 -25 -14 -23 -8 -19 -10 -15 -11 -16 -7 -9 -5 -1 -12 3 -14 6 -19 10 -24 11 -26 12 -31 12 -35 14 -40 11 -38 12 -38 7 -39 8 -34 7 -31 8 -22 7 -21 9 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,444806,0,183,0,0,0.633406,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -17 -10 -16 -12 -16 -7 -16 -5 -15 -1 -16 -4 -18 0 -16 -1 -16 2 -10 1 -13 1 -5 -3 -9 -4 -5 -6 -7 -12 -3 -12 -5 -17 -5 -20 -9 -21 -14 -27 -12 -24 -13 -24 -8 -24 -9 -23 -14 -17 -9 -14 0 0 -2 -14 0 -11 8 -12 7 -9 15 -10 17 -14 21 -14 17 -19 21 -21 25 -21 20 -25 18 -25 16 -25 14 -24 11 -24 13 -21 10 -15 12 -8 12 -6 15 -1 19 7 24 9 27 10 31 13 34 14 32 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,501234,0,183,0,0,0.689837,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -15 -7 -17 -6 -18 -4 -18 -5 -19 -5 -18 -7 -18 -8 -19 -9 -19 -12 -19 -10 -17 -11 -16 -11 -16 -10 -16 -10 -15 -9 -14 -8 -15 -7 -15 -5 -18 -4 -20 -2 -21 -3 -25 -3 -23 -5 -25 -4 -25 -6 -26 -8 0 0 -24 -11 -22 -9 -22 -9 -21 -11 -20 -8 -19 -6 -20 -5 -21 -2 -22 -4 -21 -3 -26 -3 -29 -3 -31 -4 -32 -4 -29 -9 -29 -11 -29 -9 -28 -12 -24 -13 -23 -11 -22 -12 -23 -7 -22 -5 -23 -3 -22 -4 -24 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,522243,0,183,0,0,0.711041,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -4 16 -2 16 0 15 4 15 -1 11 2 11 0 4 0 7 -3 1 -7 1 -11 -2 -14 -3 -16 -2 -21 -1 -21 -2 -25 -2 -25 -3 -25 2 -23 0 -21 0 -18 0 -16 -1 -14 -2 -11 -3 -5 -5 -3 -10 0 0 4 -17 4 -20 3 -24 3 -26 7 -28 4 -29 4 -28 2 -28 0 -26 -5 -23 1 -21 3 -17 3 -13 3 -8 6 -4 11 0 15 2 21 4 24 9 27 9 32 9 32 10 31 8 32 7 32 8 28 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,522546,0,183,0,0,0.71693,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -7 9 -8 6 -6 8 -6 6 -3 5 -4 5 -2 3 -3 1 -4 -1 -5 -1 -6 -4 -6 -3 -9 -3 -10 -5 -13 -5 -13 -6 -13 -4 -13 -5 -12 -3 -13 -4 -12 -2 -8 -2 -9 -3 -5 -4 -3 -5 -1 -5 0 0 2 -10 2 -13 2 -13 0 -13 1 -15 -1 -17 0 -15 0 -15 -3 -19 -2 -21 -2 -11 0 -9 -2 -6 1 -6 4 -5 5 -3 8 -4 11 -3 14 -4 15 -3 17 -6 17 -5 17 -7 17 -7 14 -7 14 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,537806,0,183,0,0,0.726554,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -4 19 -6 20 -1 19 2 14 -1 14 2 10 -1 8 -1 4 -4 1 -5 -1 -7 -5 -11 0 -19 -5 -23 -5 -24 -5 -22 -2 -27 -5 -26 -1 -29 -1 -21 0 -21 -3 -18 0 -14 -3 -10 -4 -8 -10 -2 -9 0 0 4 -18 6 -21 3 -23 3 -24 1 -27 3 -30 3 -26 -3 -31 -3 -26 1 -23 -2 -23 1 -17 4 -13 3 -10 7 -7 13 -3 13 0 23 2 25 1 28 4 32 2 36 2 36 1 34 1 31 0 30 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,538336,0,183,0,0,0.732379,128,[-73 112 11 0 0 0 0 0 0 0 0 0 17 10 17 9 12 5 14 7 10 5 9 2 6 2 4 0 4 4 -2 8 -1 8 3 12 -2 19 -2 18 -5 17 -1 19 -1 22 -3 27 1 22 3 21 0 23 3 16 2 13 -2 10 -4 8 -10 3 0 0 -15 8 -19 7 -21 10 -22 8 -26 13 -23 14 -22 18 -20 10 -20 19 -21 20 -11 8 -12 10 -11 7 -13 1 -13 2 -14 -3 -17 -7 -19 -12 -20 -14 -26 -16 -29 -18 -30 -14 -31 -17 -29 -17 -30 -15 -27 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,574807,0,183,0,0,0.763411,128,[-73 112 11 0 0 0 0 0 0 0 0 0 8 -3 10 -2 15 3 17 2 18 -4 18 1 19 -5 21 -4 22 -8 18 -9 24 -11 21 -11 17 -10 14 -6 15 -11 9 -4 9 -1 6 2 9 13 8 12 16 17 15 18 11 23 20 20 21 20 14 15 0 0 26 18 19 12 10 11 12 18 7 9 1 11 -4 5 -2 14 -2 16 -16 22 -13 19 -19 30 -8 30 -9 30 -5 33 -4 29 -2 29 -1 27 -4 26 -2 21 -4 17 -8 10 -10 11 -16 7 -22 2 -23 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,575136,0,183,0,0,0.769188,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -9 23 -9 26 -8 21 -4 16 0 15 0 15 -3 8 -2 7 -4 -1 -9 -4 -9 -6 -14 -5 -18 -14 -20 -10 -24 -10 -26 -9 -32 -8 -30 -11 -27 -6 -31 -6 -18 -4 -14 -4 -17 -2 -14 -2 -1 -13 -4 -11 0 0 0 -18 1 -22 8 -26 8 -29 6 -26 1 -26 7 -37 3 -26 3 -25 -3 -22 1 -24 0 -16 4 -13 3 -9 9 -6 13 -3 18 -2 21 1 29 4 32 4 36 5 37 2 39 1 35 2 35 2 29 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,584644,0,183,0,0,0.775174,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -6 -4 -6 -6 -2 -14 -8 -14 -7 -12 -13 -18 -12 -15 -14 -17 -17 -15 -15 -14 -17 -11 -17 -11 -14 -5 -13 -10 -10 -8 -5 -8 -5 -8 -2 -11 4 -10 7 -16 9 -16 9 -20 9 -20 9 -25 9 -27 6 -24 0 0 5 -21 5 -22 2 -17 8 -12 4 -13 7 -8 11 -6 11 -1 14 -2 21 4 20 -2 26 -3 26 -6 30 -7 26 -10 28 -9 26 -9 23 -8 19 -10 18 -6 16 -4 12 2 12 5 11 10 10 12 13 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,881837,0,183,0,0,1.07087,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -7 -13 -9 -10 -13 -14 -11 -14 -12 -14 -8 -16 -9 -17 -5 -18 -3 -16 -5 -14 -3 -11 -4 -9 1 -8 -2 -8 -2 -5 -3 -2 2 4 3 1 -3 5 -3 10 -5 8 -1 10 -6 10 -1 16 -1 18 -7 16 0 0 -9 18 -7 22 -4 22 -7 17 -9 20 -6 17 -3 16 -3 21 -2 22 -3 29 0 32 -1 33 -1 34 -4 36 -6 39 -9 39 -9 38 -15 36 -11 33 -13 30 -12 29 -5 27 -1 26 1 26 2 27 4 32 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-76,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,894469,0,183,0,0,1.08309,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -5 -17 -2 -14 0 -17 1 -18 6 -19 3 -19 3 -16 0 -17 1 -14 1 -19 1 -14 -5 -7 1 -14 0 -5 -2 -6 2 -5 -3 -5 1 -5 -1 -14 4 -9 0 -13 2 -15 3 -16 -2 -18 -6 -14 -4 -16 0 0 -10 -14 -3 -13 -6 -10 -4 -9 1 -6 1 -4 6 -1 13 -4 13 -3 18 3 27 -6 35 -11 39 -11 34 -18 35 -18 34 -24 36 -19 30 -19 23 -14 20 -12 17 -7 12 1 11 6 8 11 8 20 9 28 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,AA:93:4A:77:07:9F,-75,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,910712,0,183,0,0,1.09933,128,[-73 112 11 0 0 0 0 0 0 0 0 0 -3 -10 4 -17 6 -12 7 -13 4 -15 13 -13 10 -12 7 -19 9 -13 8 -12 2 -12 2 -11 -3 -7 10 -4 8 -1 1 -2 3 -2 11 -1 9 0 11 -8 14 -7 14 -6 13 -10 18 -10 19 -16 16 -17 0 0 14 -15 8 -16 6 -11 7 -13 2 -6 -1 -3 -3 10 -4 10 -4 17 0 23 -3 31 -1 39 1 44 4 47 1 49 1 47 4 44 4 38 1 30 -1 26 -1 15 -5 7 -7 -3 -14 -11 -19 -12 -21 -24 0 0 0 0 0 0 0 0 0 0 ]
