type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,00:42:38:B4:D3:BD,-80,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,22518056,0,123,0,0,22.7061,128,[123 -80 7 0 0 0 0 0 0 0 0 0 -13 -1 -10 -7 -12 -6 -13 -4 -9 -6 -10 -7 -10 -3 -11 -6 -9 -10 -11 -9 -13 -12 -13 -10 -14 -10 -15 -9 -12 -12 -14 -9 -11 -9 -11 -9 -12 -9 -11 -10 -13 -9 -15 -10 -11 -13 -12 -9 -11 -10 -12 -9 0 0 -11 -11 -11 -8 -10 -5 -10 -6 -12 -6 -12 -9 -11 -2 -11 -5 -7 -4 -5 -6 -7 -3 -9 -3 -10 -4 -8 -3 -8 -4 -7 -3 -7 -3 -6 -1 -6 0 -5 -3 -5 1 -7 0 -9 -2 -5 -1 -6 -1 -6 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,00:42:38:B4:D3:BD,-82,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,82670525,0,123,0,0,82.8583,128,[123 -80 7 0 0 0 0 0 0 0 0 0 -22 15 -17 8 -23 16 -24 9 -19 11 -15 4 -18 17 -24 10 -24 10 -24 15 -24 11 -29 12 -22 11 -23 10 -23 10 -28 17 -26 9 -25 9 -25 7 -19 12 -18 1 -25 6 -15 9 -29 11 -30 7 -15 6 0 0 -17 10 -9 3 -17 9 -11 6 -4 7 -15 5 -14 3 -14 10 -9 7 -13 1 -6 12 -4 10 -12 12 -10 14 -5 10 -4 12 -1 10 -2 9 -8 10 1 10 0 14 -8 12 -3 12 5 12 -3 13 5 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,DA:6A:E4:84:12:09,-85,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,136809740,0,127,0,0,136.997,128,[127 -16 7 0 0 0 0 0 0 0 0 0 -8 -6 1 -2 -8 -7 -1 -3 4 4 4 3 0 2 2 1 4 1 -2 -1 -8 0 -6 4 -1 3 4 -1 4 4 2 7 5 4 1 11 7 13 -4 13 0 8 -6 9 -2 17 -4 16 -1 15 -8 16 0 0 -13 14 -7 19 -12 18 -15 17 -16 15 -14 20 -11 20 -13 16 -18 17 -23 23 -8 16 -4 14 -11 17 -10 9 -13 12 -10 15 -11 9 -8 11 -7 2 -8 12 -5 20 -2 9 -3 8 -3 20 -8 9 -5 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:23:60:D1:A9:9D,-78,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,172202991,0,135,0,0,172.391,128,[-121 112 8 0 0 0 0 0 0 0 0 0 1 7 -3 8 0 9 2 9 1 7 3 9 0 8 3 4 7 10 6 13 3 14 4 17 6 14 5 18 8 18 4 19 5 19 8 17 6 19 6 20 8 21 9 18 7 19 7 23 8 22 5 22 0 0 8 22 8 24 6 24 9 22 6 21 4 23 8 24 8 24 9 20 2 13 2 23 4 18 8 24 7 17 3 20 7 20 5 19 1 15 3 12 4 15 2 14 1 14 2 12 0 15 0 15 5 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:23:60:D1:A9:9D,-80,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,191355808,0,135,0,0,191.544,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -11 -7 -11 -5 -14 -13 -14 -9 -11 -7 -9 -7 -10 -6 -8 -10 -10 -13 -4 -9 -10 -8 -11 -9 -12 -10 -11 -15 -10 -9 -12 -12 -7 -20 -6 -11 -6 -14 -8 -15 -4 -14 -6 -16 0 -20 -8 -17 -7 -23 -3 -20 0 0 -4 -22 -5 -24 -6 -20 -5 -25 -7 -26 -3 -23 -2 -23 -1 -27 -8 -21 -2 -16 -7 -25 -8 -22 -4 -23 -5 -22 -6 -20 -6 -22 -9 -21 -9 -19 -10 -17 -8 -18 -7 -18 -11 -15 -11 -16 -10 -11 -12 -10 -9 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:23:60:D1:A9:9D,-80,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,192805913,0,144,0,0,192.994,128,[-112 0 9 0 0 0 0 0 0 0 0 0 10 -14 6 -12 10 -13 16 -12 10 -14 12 -12 9 -10 13 -6 12 -10 9 -9 10 -15 15 -13 10 -8 12 -15 16 -8 12 -11 17 -9 7 -9 18 -4 13 -4 21 -3 21 -4 18 -5 17 -7 19 -2 20 -1 0 0 23 3 20 0 25 4 23 1 26 8 30 3 27 6 23 4 22 8 24 13 27 4 26 8 30 5 23 7 25 -1 20 2 26 -1 21 3 21 -4 15 -2 18 -1 12 -2 18 -4 15 -4 15 -7 17 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:23:60:D1:A9:9D,-80,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,197420668,0,135,0,0,197.608,128,[-121 112 8 0 0 0 0 0 0 0 0 0 2 -10 1 -14 3 -10 4 -7 2 -13 4 -14 5 -8 3 -8 2 -6 6 -10 6 -5 7 -12 15 -10 8 -11 8 -4 9 -10 11 -8 13 -7 10 -12 13 -7 12 -10 13 -11 15 -5 15 -2 19 -8 21 -11 0 0 22 -11 17 -5 25 -5 21 -4 20 -4 22 -4 23 -8 25 -6 18 -6 15 -1 27 -4 21 -4 23 -6 23 -11 16 -2 20 -7 19 -9 13 -3 13 -7 11 -7 16 -7 12 -8 9 -3 14 -9 10 -10 11 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:23:60:D1:A9:9D,-81,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,218845623,0,135,0,0,219.033,128,[-121 112 8 0 0 0 0 0 0 0 0 0 12 -3 13 2 12 -1 21 -2 13 -1 9 1 10 -1 7 -1 10 -4 13 1 4 2 2 2 4 3 2 -8 1 6 2 1 -8 8 -5 0 -7 -4 1 -2 -13 2 -6 9 -15 7 -9 4 -18 6 -7 2 0 0 -20 -4 -24 -10 -22 -1 -34 5 -27 9 -30 1 -35 0 -30 -3 -26 3 -34 13 -30 2 -24 2 -25 -2 -26 0 -28 -1 -25 -1 -29 5 -26 4 -24 1 -17 1 -22 1 -27 0 -20 0 -18 4 -15 6 -17 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,10:3D:1C:A3:7A:60,-26,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,222950010,0,192,0,0,223.138,128,[-64 0 12 0 0 0 0 0 0 0 0 0 -18 -11 -17 -11 -18 -12 -18 -12 -16 -12 -16 -12 -16 -12 -15 -12 -17 -13 -18 -14 -20 -16 -21 -17 -20 -17 -21 -18 -19 -17 -21 -18 -20 -18 -18 -17 -19 -18 -19 -18 -18 -17 -19 -17 -17 -16 -19 -17 -19 -18 -19 -17 0 0 -19 -18 -19 -17 -19 -17 -18 -17 -18 -16 -18 -16 -18 -16 -18 -16 -18 -16 -17 -15 -18 -16 -17 -15 -18 -15 -18 -15 -17 -14 -17 -14 -16 -13 -15 -12 -14 -11 -13 -11 -14 -11 -14 -11 -13 -10 -14 -11 -13 -10 -12 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,10:3D:1C:A3:7A:60,-26,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,223072902,0,192,0,0,223.261,128,[-64 0 12 0 0 0 0 0 0 0 0 0 17 -11 16 -10 18 -11 18 -10 17 -9 17 -9 18 -9 17 -8 19 -8 20 -9 22 -10 24 -11 24 -10 25 -11 23 -10 25 -10 24 -10 22 -9 23 -9 23 -9 22 -9 23 -9 21 -8 23 -9 23 -10 23 -9 0 0 23 -10 23 -10 23 -9 22 -10 21 -9 22 -9 22 -10 21 -10 21 -10 20 -10 21 -10 20 -9 21 -10 20 -10 19 -9 19 -10 18 -10 16 -9 15 -8 14 -8 15 -8 14 -8 14 -8 14 -9 14 -8 13 -7 0 0 0 0 0 0 0 0 0 0 ]
