,0
0,-36.762926629879416
1,5.5520130799100755
2,10.038217862252196
4,0.020437359493153485
5,-0.10566114857960351
6,0.01655426118945432
7,-0.11976292662987942
8,0.005109339873288371
9,-0.11056611485796035
10,0.01900674432863274
11,-0.09278561209891682
12,-0.04843654199877376
13,-0.6956877171469447
14,-0.10647864295932966
15,-0.6830165542611895
16,-0.04966278356836297
17,-0.5851216022889842
18,-0.024320457796852647
19,-0.4297976701410178
20,0.005518087063151441
21,-0.5160433272021255
22,0.09094624974453301
23,-0.5372981810750052
24,0.08869814020028613
25,-0.572041692213366
26,0.06376456161863887
27,-0.5168608215818516
28,0.07929695483343552
29,-0.5295319844676067
30,0.04087471898630697
31,-0.542203147353362
32,0.07398324136521561
33,-0.5238095238095238
34,0.10688739014919273
35,-0.4739423666462293
36,0.031473533619456366
37,-0.48763539750664214
38,-0.01941549151849581
39,-0.49458409973431433
40,-0.02738606172082567
41,-0.4927447373799305
42,-0.1079092581238504
43,-0.36971183323114654
44,-0.01982423870835888
45,-0.37093807480073576
46,-0.1126098508072757
47,-0.3864704680155324
48,-0.08236255875740854
49,-0.36868996525648884
50,-0.05415900265685673
51,-0.4512568976088289
52,-0.17392192928673617
53,-0.4614755773554057
54,-0.19517678315961579
55,-0.43327202125485387
56,-0.13917841814837523
57,-0.49110974862047824
58,-0.18516247700797056
59,-0.41487839771101576
60,-0.13059472716125076
61,-0.43327202125485387
62,-0.12262415695892091
63,-0.4185571224197834
66,-0.1213979153893317
67,-0.6112814224402208
68,-0.034334763948497854
69,-0.45840997343143264
70,-0.03903535663192315
71,-0.5025546699366442
72,-0.08522378908645004
73,-0.5321888412017167
74,-0.07888820764357245
75,-0.5773554056815859
76,-0.15041896586960965
77,-0.6374412425914572
78,-0.14347026364193746
79,-0.5796035152258329
80,-0.12180666257919477
81,-0.7586347843858573
82,-0.11914980584508482
83,-0.6930308604128347
84,-0.26875127733496834
85,-0.6652360515021459
86,-0.27243000204373596
87,-0.6772940936031064
88,-0.18168812589413447
89,-0.6636010627426936
90,-0.22358471285509912
91,-0.7283874923359902
92,-0.15900265685673412
93,-0.7003883098303699
94,-0.31718781933374207
95,-0.7306356018802371
96,-0.26589004700592683
97,-0.7719190680564071
98,-0.20253423257715103
99,-0.8814633149397098
100,-0.25383200490496627
101,-0.9031269160024524
102,-0.39280604945840997
103,-0.8307786633966892
104,-0.43919885550786836
105,-0.8544860004087472
106,-0.3825873697118332
107,-0.7970570202329859
108,-0.4557531166973227
109,-0.765787860208461
110,-0.3889229511547108
111,-0.7723278152462701
112,-0.4751686082158185
113,-0.7617003883098303
114,-0.5068465154302064
115,-0.7292049867157163
116,-0.42366646229307175
117,-0.7946045370938075
118,0.05742898017576129
119,-0.10504802779480892
120,0.031064786429593295
121,-0.11444921316165951
122,0.036582873492744736
123,-0.12916411199673003
124,0.044962190884937664
125,-0.10014306151645208
126,0.0721438790108318
127,-0.1301859799713877
