,0
0,74.23218990177828
1,82.03906783118462
2,6.103358873637647
4,4.476492698399642
5,4.711838497113547
6,4.276817144050179
7,4.5515320928100556
8,4.090014078570314
9,4.3681478692869815
10,3.887184503166143
11,4.218507089375138
12,13.515299051392267
13,13.190193088647574
14,13.178987875382369
15,12.964449127030923
16,13.178996895553466
17,13.061818595459767
18,13.103877264190634
19,12.926504312895949
20,12.584496553177866
21,12.627102015344288
22,12.490156935715394
23,12.314015786714313
24,12.32329594821199
25,12.269100421170291
26,12.20463425106325
27,12.164957722731323
28,12.506960199823078
29,12.434702821352875
30,12.837606000885398
31,12.755415432855287
32,13.174862640051547
33,13.180574737978434
34,13.630451036429488
35,13.606399982639294
36,13.594111228668508
37,13.514789129437823
38,13.548525836891198
39,13.57289251383269
40,13.321066581334499
41,13.323416972460508
42,13.716275803123102
43,13.613687119437861
44,13.477725679183534
45,13.419814016871822
46,13.44791030168221
47,13.384124882621284
48,13.582457478832477
49,13.513909086235952
50,13.702540447004745
51,13.607225229326055
52,13.605745733820447
53,13.636822894349535
54,13.783911335787419
55,13.642327750111338
56,13.652903552667391
57,13.487495508995107
58,14.034229997356023
59,13.918680650459988
60,14.261958821015996
61,14.171626122953976
62,14.214871177321095
63,14.125458447146336
66,14.531835813524655
67,14.416829732695078
68,14.55103255452977
69,14.452717366715165
70,14.43889481053157
71,14.34553146596629
72,14.562915919390528
73,14.436608985365659
74,14.257396045966438
75,14.311398147982365
76,14.635359077102436
77,14.483976921262709
78,14.732912737922595
79,14.767943257035457
80,14.750118867399394
81,14.795537425882925
82,15.022898507021246
83,14.988266490960608
84,15.73031294975811
85,15.531692688162051
86,14.816289352626344
87,14.997792668710735
88,14.667717478477329
89,14.802537791610435
90,14.79466348816068
91,14.894951398837804
92,14.82576277015282
93,15.06513210412144
94,14.634628773300637
95,14.880944464251524
96,14.403604085167379
97,14.59620119523209
98,14.07782717744585
99,14.19925792127039
100,13.575646844834788
101,13.748618315897417
102,13.22417265897149
103,13.364961049707723
104,12.74445547706755
105,12.873834825967048
106,12.814078692238583
107,12.967803313265787
108,12.770864883197866
109,12.749989766185148
110,12.571729460611627
111,12.53282387370686
112,12.56501580830722
113,12.514436214412951
114,12.414006233774048
115,12.292291961576227
116,12.184517294678514
117,12.007839542464824
118,4.511898493785373
119,4.47607710708168
120,4.18784273125349
121,4.247912075524177
122,4.483421342472665
123,4.492048112419068
124,4.6025190786208885
125,4.767081559666585
126,4.524741456915191
127,4.699635181850935
