,0
0,-42.70306787474169
1,12.326975043713242
2,10.345573040852011
4,-0.05007153075822604
5,-0.12096646002225402
6,-0.04975361627722143
7,-0.1367032268319822
8,-0.0584962645048482
9,-0.12112541726275632
10,-0.045143856302654585
11,-0.104275949769512
12,-0.5409314894293435
13,-0.9004927674455572
14,-0.5730408520108091
15,-0.8221268478779208
16,-0.49674137656970274
17,-0.7307264345890956
18,-0.5112064854554125
19,-0.5476076935304404
20,-0.4523923064695597
21,-0.6234302972500397
22,-0.39341917024320455
23,-0.60896518836433
24,-0.36623748211731044
25,-0.627245271022095
26,-0.3586075345731998
27,-0.56620569066921
28,-0.296137339055794
29,-0.5849626450484819
30,-0.3059926879669369
31,-0.5711333651247814
32,-0.30821808933396916
33,-0.6172309648704498
34,-0.1920203465267843
35,-0.6092831028453346
36,-0.24050230487998728
37,-0.6399618502622795
38,-0.27436019710697823
39,-0.6631696073756159
40,-0.24686059450007947
41,-0.6580829756795422
42,-0.28532824670163726
43,-0.6035606421872516
44,-0.23255444285487203
45,-0.612621204895883
46,-0.2796057860435543
47,-0.5933873787951042
48,-0.2314417421713559
49,-0.5765379113018598
50,-0.23350818629788586
51,-0.6533142584644731
52,-0.3257033857892227
53,-0.670958512160229
54,-0.3748211731044349
55,-0.5658877761882054
56,-0.25178826895565093
57,-0.584485773326975
58,-0.34620886981402005
59,-0.5579399141630901
60,-0.2713400095374344
61,-0.510411699252901
62,-0.23636941662692737
63,-0.49912573517723735
66,-0.23652837386742967
67,-0.5975202670481641
68,-0.19297408996979812
69,-0.4099507232554443
70,-0.18836432999523128
71,-0.4398346844698776
72,-0.1783500238435861
73,-0.4954697186456843
74,-0.1627722142743602
75,-0.5425210618343665
76,-0.20267048164043872
77,-0.588618661580035
78,-0.26164361786679385
79,-0.5457002066444127
80,-0.2247655380702591
81,-0.655380702591003
82,-0.1495787633126689
83,-0.5873470036560166
84,-0.23859481799395962
85,-0.5593705293276109
86,-0.2632331902718169
87,-0.5633444603401685
88,-0.2220632649817199
89,-0.562549674137657
90,-0.15736766809728184
91,-0.5690669209982515
92,-0.12001271657924019
93,-0.5752662533778413
94,-0.2527420123986648
95,-0.6318550309966618
96,-0.18470831346367828
97,-0.6054681290732793
98,-0.13161659513590845
99,-0.6843109203624225
100,-0.24622476553807027
101,-0.7472579876013352
102,-0.43156890796375774
103,-0.6752503576537912
104,-0.4756000635828962
105,-0.7456684151963122
106,-0.5278969957081545
107,-0.6808138610713718
108,-0.5809887140359243
109,-0.675727229375298
110,-0.5541249403910348
111,-0.7094261643617866
112,-0.6852646638054364
113,-0.7067238912732475
114,-0.7199173422349388
115,-0.6839930058814179
116,-0.6623748211731044
117,-0.7712605309171833
118,-0.002384358607534573
119,-0.11905897313622636
120,-0.02114131298680655
121,-0.1270068351613416
122,-0.019074868860276584
123,-0.13940549992052137
124,-0.016849467493244317
125,-0.1204895883007471
126,-0.002384358607534573
127,-0.14290255921157208
